index,municipio,coduf,codmun,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao,ano
118435,Abaiara,23,230010,2020-06-27,11737.0,17.0,0,1,0,Cariri,2020
118436,Abaiara,23,230010,2020-06-28,11737.0,18.0,1,1,0,Cariri,2020
118437,Abaiara,23,230010,2020-06-29,11737.0,18.0,0,1,0,Cariri,2020
118438,Abaiara,23,230010,2020-06-30,11737.0,18.0,0,1,0,Cariri,2020
118439,Abaiara,23,230010,2020-07-01,11737.0,20.0,2,1,0,Cariri,2020
118440,Abaiara,23,230010,2020-07-02,11737.0,20.0,0,1,0,Cariri,2020
118441,Abaiara,23,230010,2020-07-03,11737.0,20.0,0,1,0,Cariri,2020
118442,Abaiara,23,230010,2020-07-04,11737.0,20.0,0,1,0,Cariri,2020
118443,Abaiara,23,230010,2020-07-05,11737.0,20.0,0,1,0,Cariri,2020
118444,Abaiara,23,230010,2020-07-06,11737.0,20.0,0,1,0,Cariri,2020
118445,Abaiara,23,230010,2020-07-07,11737.0,21.0,1,1,0,Cariri,2020
118446,Abaiara,23,230010,2020-07-08,11737.0,25.0,4,1,0,Cariri,2020
118447,Abaiara,23,230010,2020-07-09,11737.0,27.0,2,1,0,Cariri,2020
118448,Abaiara,23,230010,2020-07-10,11737.0,27.0,0,1,0,Cariri,2020
118449,Abaiara,23,230010,2020-07-11,11737.0,27.0,0,1,0,Cariri,2020
118450,Abaiara,23,230010,2020-07-12,11737.0,27.0,0,1,0,Cariri,2020
118451,Abaiara,23,230010,2020-07-13,11737.0,27.0,0,1,0,Cariri,2020
118452,Abaiara,23,230010,2020-07-14,11737.0,27.0,0,1,0,Cariri,2020
118453,Abaiara,23,230010,2020-07-15,11737.0,29.0,2,1,0,Cariri,2020
118454,Abaiara,23,230010,2020-07-16,11737.0,33.0,4,1,0,Cariri,2020
118455,Abaiara,23,230010,2020-07-17,11737.0,33.0,0,1,0,Cariri,2020
118456,Abaiara,23,230010,2020-07-18,11737.0,33.0,0,1,0,Cariri,2020
118457,Abaiara,23,230010,2020-07-19,11737.0,33.0,0,1,0,Cariri,2020
118458,Abaiara,23,230010,2020-07-20,11737.0,37.0,4,1,0,Cariri,2020
118459,Abaiara,23,230010,2020-07-21,11737.0,41.0,4,1,0,Cariri,2020
118460,Abaiara,23,230010,2020-07-22,11737.0,41.0,0,1,0,Cariri,2020
118461,Abaiara,23,230010,2020-07-23,11737.0,46.0,5,1,0,Cariri,2020
118462,Abaiara,23,230010,2020-07-24,11737.0,46.0,0,2,1,Cariri,2020
118463,Abaiara,23,230010,2020-07-25,11737.0,48.0,2,2,0,Cariri,2020
118464,Abaiara,23,230010,2020-07-26,11737.0,48.0,0,2,0,Cariri,2020
118465,Abaiara,23,230010,2020-07-27,11737.0,49.0,1,2,0,Cariri,2020
118466,Abaiara,23,230010,2020-07-28,11737.0,49.0,0,2,0,Cariri,2020
118467,Abaiara,23,230010,2020-07-29,11737.0,52.0,3,2,0,Cariri,2020
118468,Abaiara,23,230010,2020-07-30,11737.0,52.0,0,2,0,Cariri,2020
118469,Abaiara,23,230010,2020-07-31,11737.0,53.0,1,2,0,Cariri,2020
118470,Acarape,23,230015,2020-03-27,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118471,Acarape,23,230015,2020-03-28,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118472,Acarape,23,230015,2020-03-29,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118473,Acarape,23,230015,2020-03-30,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118474,Acarape,23,230015,2020-03-31,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118475,Acarape,23,230015,2020-04-01,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118476,Acarape,23,230015,2020-04-02,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118477,Acarape,23,230015,2020-04-03,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118478,Acarape,23,230015,2020-04-04,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118479,Acarape,23,230015,2020-04-05,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118480,Acarape,23,230015,2020-04-06,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118481,Acarape,23,230015,2020-04-07,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118482,Acarape,23,230015,2020-04-08,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118483,Acarape,23,230015,2020-04-09,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118484,Acarape,23,230015,2020-04-10,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118485,Acarape,23,230015,2020-04-11,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118486,Acarape,23,230015,2020-04-12,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118487,Acarape,23,230015,2020-04-13,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118488,Acarape,23,230015,2020-04-14,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118489,Acarape,23,230015,2020-04-15,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118490,Acarape,23,230015,2020-04-16,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118491,Acarape,23,230015,2020-04-17,14929.0,0.0,0,0,0,Maciço de Baturité,2020
118492,Acarape,23,230015,2020-04-18,14929.0,2.0,2,1,1,Maciço de Baturité,2020
118493,Acarape,23,230015,2020-04-19,14929.0,2.0,0,1,0,Maciço de Baturité,2020
118494,Acarape,23,230015,2020-04-20,14929.0,3.0,1,1,0,Maciço de Baturité,2020
118495,Acarape,23,230015,2020-04-21,14929.0,4.0,1,1,0,Maciço de Baturité,2020
118496,Acarape,23,230015,2020-04-22,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118497,Acarape,23,230015,2020-04-23,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118498,Acarape,23,230015,2020-04-24,14929.0,5.0,1,1,0,Maciço de Baturité,2020
118499,Acarape,23,230015,2020-04-25,14929.0,4.0,-1,1,0,Maciço de Baturité,2020
118500,Acarape,23,230015,2020-04-26,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118501,Acarape,23,230015,2020-04-27,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118502,Acarape,23,230015,2020-04-28,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118503,Acarape,23,230015,2020-04-29,14929.0,3.0,-1,1,0,Maciço de Baturité,2020
118504,Acarape,23,230015,2020-04-30,14929.0,4.0,1,1,0,Maciço de Baturité,2020
118505,Acarape,23,230015,2020-05-01,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118506,Acarape,23,230015,2020-05-02,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118507,Acarape,23,230015,2020-05-03,14929.0,4.0,0,1,0,Maciço de Baturité,2020
118508,Acarape,23,230015,2020-05-04,14929.0,5.0,1,1,0,Maciço de Baturité,2020
118509,Acarape,23,230015,2020-05-05,14929.0,5.0,0,1,0,Maciço de Baturité,2020
118510,Acarape,23,230015,2020-05-06,14929.0,0.0,-5,0,-1,Maciço de Baturité,2020
118511,Acarape,23,230015,2020-05-07,14929.0,9.0,9,1,1,Maciço de Baturité,2020
118512,Acarape,23,230015,2020-05-08,14929.0,10.0,1,1,0,Maciço de Baturité,2020
118513,Acarape,23,230015,2020-05-09,14929.0,9.0,-1,1,0,Maciço de Baturité,2020
118514,Acarape,23,230015,2020-05-10,14929.0,9.0,0,1,0,Maciço de Baturité,2020
118515,Acarape,23,230015,2020-05-11,14929.0,9.0,0,1,0,Maciço de Baturité,2020
118516,Acarape,23,230015,2020-05-12,14929.0,10.0,1,1,0,Maciço de Baturité,2020
118517,Acarape,23,230015,2020-05-13,14929.0,10.0,0,1,0,Maciço de Baturité,2020
118518,Acarape,23,230015,2020-05-14,14929.0,8.0,-2,2,1,Maciço de Baturité,2020
118519,Acarape,23,230015,2020-05-15,14929.0,10.0,2,2,0,Maciço de Baturité,2020
118520,Acarape,23,230015,2020-05-16,14929.0,12.0,2,2,0,Maciço de Baturité,2020
118521,Acarape,23,230015,2020-05-17,14929.0,12.0,0,2,0,Maciço de Baturité,2020
118522,Acarape,23,230015,2020-05-18,14929.0,13.0,1,2,0,Maciço de Baturité,2020
118523,Acarape,23,230015,2020-05-19,14929.0,16.0,3,2,0,Maciço de Baturité,2020
118524,Acarape,23,230015,2020-05-20,14929.0,20.0,4,2,0,Maciço de Baturité,2020
118525,Acarape,23,230015,2020-05-21,14929.0,21.0,1,2,0,Maciço de Baturité,2020
118526,Acarape,23,230015,2020-05-22,14929.0,22.0,1,3,1,Maciço de Baturité,2020
118527,Acarape,23,230015,2020-05-23,14929.0,21.0,-1,3,0,Maciço de Baturité,2020
118528,Acarape,23,230015,2020-05-24,14929.0,23.0,2,3,0,Maciço de Baturité,2020
118529,Acarape,23,230015,2020-05-25,14929.0,24.0,1,3,0,Maciço de Baturité,2020
118530,Acarape,23,230015,2020-05-26,14929.0,24.0,0,3,0,Maciço de Baturité,2020
118531,Acarape,23,230015,2020-05-27,14929.0,24.0,0,2,-1,Maciço de Baturité,2020
118532,Acarape,23,230015,2020-05-28,14929.0,24.0,0,2,0,Maciço de Baturité,2020
118533,Acarape,23,230015,2020-05-29,14929.0,23.0,-1,2,0,Maciço de Baturité,2020
118534,Acarape,23,230015,2020-05-30,14929.0,71.0,48,3,1,Maciço de Baturité,2020
118535,Acarape,23,230015,2020-05-31,14929.0,75.0,4,3,0,Maciço de Baturité,2020
118536,Acarape,23,230015,2020-06-01,14929.0,87.0,12,5,2,Maciço de Baturité,2020
118537,Acarape,23,230015,2020-06-02,14929.0,87.0,0,5,0,Maciço de Baturité,2020
118538,Acarape,23,230015,2020-06-03,14929.0,93.0,6,6,1,Maciço de Baturité,2020
118539,Acarape,23,230015,2020-06-04,14929.0,100.0,7,6,0,Maciço de Baturité,2020
118540,Acarape,23,230015,2020-06-05,14929.0,102.0,2,6,0,Maciço de Baturité,2020
118541,Acarape,23,230015,2020-06-06,14929.0,101.0,-1,6,0,Maciço de Baturité,2020
118542,Acarape,23,230015,2020-06-07,14929.0,107.0,6,6,0,Maciço de Baturité,2020
118543,Acarape,23,230015,2020-06-08,14929.0,143.0,36,8,2,Maciço de Baturité,2020
118544,Acarape,23,230015,2020-06-09,14929.0,154.0,11,8,0,Maciço de Baturité,2020
118545,Acarape,23,230015,2020-06-10,14929.0,159.0,5,8,0,Maciço de Baturité,2020
118546,Acarape,23,230015,2020-06-11,14929.0,190.0,31,9,1,Maciço de Baturité,2020
118547,Acarape,23,230015,2020-06-12,14929.0,190.0,0,9,0,Maciço de Baturité,2020
118548,Acarape,23,230015,2020-06-13,14929.0,201.0,11,9,0,Maciço de Baturité,2020
118549,Acarape,23,230015,2020-06-14,14929.0,200.0,-1,9,0,Maciço de Baturité,2020
118550,Acarape,23,230015,2020-06-15,14929.0,268.0,68,9,0,Maciço de Baturité,2020
118551,Acarape,23,230015,2020-06-16,14929.0,271.0,3,9,0,Maciço de Baturité,2020
118552,Acarape,23,230015,2020-06-17,14929.0,303.0,32,9,0,Maciço de Baturité,2020
118553,Acarape,23,230015,2020-06-18,14929.0,311.0,8,10,1,Maciço de Baturité,2020
118554,Acarape,23,230015,2020-06-19,14929.0,332.0,21,10,0,Maciço de Baturité,2020
118555,Acarape,23,230015,2020-06-20,14929.0,340.0,8,10,0,Maciço de Baturité,2020
118556,Acarape,23,230015,2020-06-21,14929.0,340.0,0,10,0,Maciço de Baturité,2020
118557,Acarape,23,230015,2020-06-22,14929.0,341.0,1,11,1,Maciço de Baturité,2020
118558,Acarape,23,230015,2020-06-23,14929.0,400.0,59,11,0,Maciço de Baturité,2020
118559,Acarape,23,230015,2020-06-24,14929.0,446.0,46,11,0,Maciço de Baturité,2020
118560,Acarape,23,230015,2020-06-25,14929.0,457.0,11,11,0,Maciço de Baturité,2020
118561,Acarape,23,230015,2020-06-26,14929.0,464.0,7,11,0,Maciço de Baturité,2020
118562,Acarape,23,230015,2020-06-27,14929.0,466.0,2,11,0,Maciço de Baturité,2020
118563,Acarape,23,230015,2020-06-28,14929.0,475.0,9,11,0,Maciço de Baturité,2020
118564,Acarape,23,230015,2020-06-29,14929.0,475.0,0,11,0,Maciço de Baturité,2020
118565,Acarape,23,230015,2020-06-30,14929.0,500.0,25,12,1,Maciço de Baturité,2020
118566,Acarape,23,230015,2020-07-01,14929.0,511.0,11,12,0,Maciço de Baturité,2020
118567,Acarape,23,230015,2020-07-02,14929.0,511.0,0,12,0,Maciço de Baturité,2020
118568,Acarape,23,230015,2020-07-03,14929.0,562.0,51,12,0,Maciço de Baturité,2020
118569,Acarape,23,230015,2020-07-04,14929.0,601.0,39,12,0,Maciço de Baturité,2020
118570,Acarape,23,230015,2020-07-05,14929.0,599.0,-2,12,0,Maciço de Baturité,2020
118571,Acarape,23,230015,2020-07-06,14929.0,614.0,15,12,0,Maciço de Baturité,2020
118572,Acarape,23,230015,2020-07-07,14929.0,639.0,25,12,0,Maciço de Baturité,2020
118573,Acarape,23,230015,2020-07-08,14929.0,650.0,11,12,0,Maciço de Baturité,2020
118574,Acarape,23,230015,2020-07-09,14929.0,681.0,31,12,0,Maciço de Baturité,2020
118575,Acarape,23,230015,2020-07-10,14929.0,747.0,66,13,1,Maciço de Baturité,2020
118576,Acarape,23,230015,2020-07-11,14929.0,756.0,9,13,0,Maciço de Baturité,2020
118577,Acarape,23,230015,2020-07-12,14929.0,756.0,0,13,0,Maciço de Baturité,2020
118578,Acarape,23,230015,2020-07-13,14929.0,757.0,1,13,0,Maciço de Baturité,2020
118579,Acarape,23,230015,2020-07-14,14929.0,765.0,8,14,1,Maciço de Baturité,2020
118580,Acarape,23,230015,2020-07-15,14929.0,778.0,13,14,0,Maciço de Baturité,2020
118581,Acarape,23,230015,2020-07-16,14929.0,797.0,19,14,0,Maciço de Baturité,2020
118582,Acarape,23,230015,2020-07-17,14929.0,806.0,9,14,0,Maciço de Baturité,2020
118583,Acarape,23,230015,2020-07-18,14929.0,806.0,0,14,0,Maciço de Baturité,2020
118584,Acarape,23,230015,2020-07-19,14929.0,806.0,0,14,0,Maciço de Baturité,2020
118585,Acarape,23,230015,2020-07-20,14929.0,806.0,0,14,0,Maciço de Baturité,2020
118586,Acarape,23,230015,2020-07-21,14929.0,809.0,3,14,0,Maciço de Baturité,2020
118587,Acarape,23,230015,2020-07-22,14929.0,825.0,16,14,0,Maciço de Baturité,2020
118588,Acarape,23,230015,2020-07-23,14929.0,838.0,13,14,0,Maciço de Baturité,2020
118589,Acarape,23,230015,2020-07-24,14929.0,907.0,69,14,0,Maciço de Baturité,2020
118590,Acarape,23,230015,2020-07-25,14929.0,980.0,73,14,0,Maciço de Baturité,2020
118591,Acarape,23,230015,2020-07-26,14929.0,981.0,1,14,0,Maciço de Baturité,2020
118592,Acarape,23,230015,2020-07-27,14929.0,981.0,0,14,0,Maciço de Baturité,2020
118593,Acarape,23,230015,2020-07-28,14929.0,988.0,7,14,0,Maciço de Baturité,2020
118594,Acarape,23,230015,2020-07-29,14929.0,1015.0,27,14,0,Maciço de Baturité,2020
118595,Acarape,23,230015,2020-07-30,14929.0,1056.0,41,14,0,Maciço de Baturité,2020
118596,Acarape,23,230015,2020-07-31,14929.0,1132.0,76,14,0,Maciço de Baturité,2020
118597,Acaraú,23,230020,2020-03-27,62641.0,0.0,0,0,0,Litoral Norte,2020
118598,Acaraú,23,230020,2020-03-28,62641.0,0.0,0,0,0,Litoral Norte,2020
118599,Acaraú,23,230020,2020-03-29,62641.0,0.0,0,0,0,Litoral Norte,2020
118600,Acaraú,23,230020,2020-03-30,62641.0,0.0,0,0,0,Litoral Norte,2020
118601,Acaraú,23,230020,2020-03-31,62641.0,0.0,0,0,0,Litoral Norte,2020
118602,Acaraú,23,230020,2020-04-01,62641.0,0.0,0,0,0,Litoral Norte,2020
118603,Acaraú,23,230020,2020-04-02,62641.0,0.0,0,0,0,Litoral Norte,2020
118604,Acaraú,23,230020,2020-04-03,62641.0,0.0,0,0,0,Litoral Norte,2020
118605,Acaraú,23,230020,2020-04-04,62641.0,0.0,0,0,0,Litoral Norte,2020
118606,Acaraú,23,230020,2020-04-05,62641.0,0.0,0,0,0,Litoral Norte,2020
118607,Acaraú,23,230020,2020-04-06,62641.0,0.0,0,0,0,Litoral Norte,2020
118608,Acaraú,23,230020,2020-04-07,62641.0,0.0,0,0,0,Litoral Norte,2020
118609,Acaraú,23,230020,2020-04-08,62641.0,0.0,0,0,0,Litoral Norte,2020
118610,Acaraú,23,230020,2020-04-09,62641.0,0.0,0,0,0,Litoral Norte,2020
118611,Acaraú,23,230020,2020-04-10,62641.0,0.0,0,0,0,Litoral Norte,2020
118612,Acaraú,23,230020,2020-04-11,62641.0,0.0,0,0,0,Litoral Norte,2020
118613,Acaraú,23,230020,2020-04-12,62641.0,0.0,0,0,0,Litoral Norte,2020
118614,Acaraú,23,230020,2020-04-13,62641.0,0.0,0,0,0,Litoral Norte,2020
118615,Acaraú,23,230020,2020-04-14,62641.0,0.0,0,0,0,Litoral Norte,2020
118616,Acaraú,23,230020,2020-04-15,62641.0,0.0,0,0,0,Litoral Norte,2020
118617,Acaraú,23,230020,2020-04-16,62641.0,0.0,0,0,0,Litoral Norte,2020
118618,Acaraú,23,230020,2020-04-17,62641.0,1.0,1,0,0,Litoral Norte,2020
118619,Acaraú,23,230020,2020-04-18,62641.0,1.0,0,1,1,Litoral Norte,2020
118620,Acaraú,23,230020,2020-04-19,62641.0,1.0,0,1,0,Litoral Norte,2020
118621,Acaraú,23,230020,2020-04-20,62641.0,1.0,0,1,0,Litoral Norte,2020
118622,Acaraú,23,230020,2020-04-21,62641.0,1.0,0,1,0,Litoral Norte,2020
118623,Acaraú,23,230020,2020-04-22,62641.0,1.0,0,1,0,Litoral Norte,2020
118624,Acaraú,23,230020,2020-04-23,62641.0,3.0,2,1,0,Litoral Norte,2020
118625,Acaraú,23,230020,2020-04-24,62641.0,5.0,2,1,0,Litoral Norte,2020
118626,Acaraú,23,230020,2020-04-25,62641.0,4.0,-1,1,0,Litoral Norte,2020
118627,Acaraú,23,230020,2020-04-26,62641.0,4.0,0,1,0,Litoral Norte,2020
118628,Acaraú,23,230020,2020-04-27,62641.0,27.0,23,1,0,Litoral Norte,2020
118629,Acaraú,23,230020,2020-04-28,62641.0,27.0,0,1,0,Litoral Norte,2020
118630,Acaraú,23,230020,2020-04-29,62641.0,27.0,0,1,0,Litoral Norte,2020
118631,Acaraú,23,230020,2020-04-30,62641.0,27.0,0,1,0,Litoral Norte,2020
118632,Acaraú,23,230020,2020-05-01,62641.0,31.0,4,1,0,Litoral Norte,2020
118633,Acaraú,23,230020,2020-05-02,62641.0,31.0,0,1,0,Litoral Norte,2020
118634,Acaraú,23,230020,2020-05-03,62641.0,31.0,0,1,0,Litoral Norte,2020
118635,Acaraú,23,230020,2020-05-04,62641.0,32.0,1,1,0,Litoral Norte,2020
118636,Acaraú,23,230020,2020-05-05,62641.0,34.0,2,1,0,Litoral Norte,2020
118637,Acaraú,23,230020,2020-05-06,62641.0,36.0,2,1,0,Litoral Norte,2020
118638,Acaraú,23,230020,2020-05-07,62641.0,113.0,77,1,0,Litoral Norte,2020
118639,Acaraú,23,230020,2020-05-08,62641.0,117.0,4,1,0,Litoral Norte,2020
118640,Acaraú,23,230020,2020-05-09,62641.0,118.0,1,1,0,Litoral Norte,2020
